srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
AR-MF-000019201,PAMPAMED S.R.L.,MF,AR,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
AR-MF-000023348,Promedon S.A.,MF,AR,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
AR-MF-000029448,NUXEN SRL [ES],MF,AR,CHRN-AR-20000994,PX Dental S.A.,CHE109393918
AR-MF-000047833,Terragene S.A.,MF,AR,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000252,Amann Girrbach AG,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000000275,iSYS Medizintechnik GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000281,Sonotechnik Austria,MF,AT,CHRN-AR-20010054,Auriga medica GmbH,CHE367479838
AT-MF-000000282,MoNo chem-pharm Produkte GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000000426,Leonhard Lang GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000433,AURIMOD GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000001001,decide Clinical Software GmbH,MF,AT,CHRN-AR-20002028,toedtli-consulting (Inhaber Jost Tödtli),CHE272085019
AT-MF-000001284,Michael Pachleitner Group GmbH,MF,AT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
AT-MF-000001435,APrevent Biotech GmbH,MF,AT,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
AT-MF-000001462,G & Z Instrumente GmbH,MF,AT,CHRN-AR-20003295,Swiss Precision Instruments AG,CHE109488826
AT-MF-000001501,Ingenetix GmbH,MF,AT,CHRN-AR-20003213,Labgene Scientific SA,CHE114160917
AT-MF-000001504,CARL REINER GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000001590,W&H Dentalwerk Bürmoos GmbH,MF,AT,CHRN-AR-20002214,W & H CH AG,CHE110577715
AT-MF-000001620,MONTAVIT (Pharmazeutische Fabrik),MF,AT,CHRN-AR-20001254,PURE Medical Device SA,CHE410104057
AT-MF-000001773,contextflow GmbH,MF,AT,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
AT-MF-000001788,HeaRT Regeneration Technologies GmbH,MF,AT,CHRN-AR-20003054,ELLECOM SWISS AG,CHE248667988
AT-MF-000001791,EVER Neuro Pharma GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000001918,IT-V Medizintechnik GmbH,MF,AT,CHRN-AR-20003113,"Elekta GmbH, Innsbruck, Zweigniederlassung Zug",CHE105192522
AT-MF-000001999,KLEMA Dentalprodukte GmbH,MF,AT,CHRN-AR-20000313,GC Europe AG,CHE459359888
AT-MF-000002398, AIT Austrian Institute of Technology GmbH,MF,AT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
AT-MF-000002598,REPULS Lichtmedizintechnik GmbH,MF,AT,CHRN-AR-20003614,Sipsongpanna Holding AG,CHE329610178
AT-MF-000002648,medPhoton GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000002664,surgebright GmbH,MF,AT,CHRN-AR-20002728,Neutromedics AG,CHE107527361
AT-MF-000002920,Otto Bock Healthcare Products GmbH,MF,AT,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
AT-MF-000004425,SCHUHFRIED GmbH,MF,AT,CHRN-AR-20002560,Orthotec AG,CHE107604530
AT-MF-000004590,KLAXON MOBILITY GmbH,MF,AT,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
AT-MF-000005093,Georg Krämer GmbH & CO KG,MF,AT,CHRN-AR-20010239,Sodimed SA,CHE135544560
AT-MF-000005383,Saphenus Medical Technology GmbH,MF,AT,CHRN-AR-20003054,ELLECOM SWISS AG,CHE248667988
AT-MF-000007166,ImplanTec GmbH,MF,AT,CHRN-AR-20003310,AMR Advanced Medical Research GmbH,CHE257905141
AT-MF-000009932,RetInSight GmbH ,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000010366,Biegler GmbH,MF,AT,CHRN-AR-20001922,Theramed AG Therapie- und Medizintechnik,CHE103629850
AT-MF-000011048,Gynial GmbH,MF,AT,CHRN-AR-20010383,Gynial AG,CHE305786303
AT-MF-000011199,Medaia GmbH,MF,AT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
AT-MF-000013008,GENSPEED Biotech GmbH,MF,AT,CHRN-AR-20003612,DiaLine AG,CHE107641815
AT-MF-000013284,CROMA-PHARMA GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000014114,Heltschl GmbH,MF,AT,CHRN-AR-20002387,Ardo medical AG,CHE105998962
AT-MF-000014438,METASYS Medizintechnik GmbH,MF,AT,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
AT-MF-000016168,Tyromotion GmbH,MF,AT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
AT-MF-000016426,Profümed GmbH,MF,AT,CHRN-AR-20000719,B. Braun Medical AG,CHE106032803
AT-MF-000016792,A.M.I. Agency for Medical Innovations GmbH,MF,AT,CHRN-AR-20000571,Fumedica AG,CHE103747478
AT-MF-000018341,MSP Medizintechnik GmbH,MF,AT,CHRN-AR-20003070,TapMed Swiss AG,CHE315124552
AT-MF-000020243,MED-EL Elektromedizinische Geräte GmbH,MF,AT,CHRN-AR-20001383,MED-EL Schweiz GmbH,CHE343555495
AT-MF-000020244,CMD GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000020785,Safersonic Medizinprodukte Handelsges.m.b.H,MF,AT,CHRN-AR-20001258,Ermed AG,CHE106661488
AT-MF-000020789,Biolux Technology GmbH,MF,AT,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
AT-MF-000020940,24sens GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000022520,Medizintechnik Behounek GmbH,MF,AT,CHRN-AR-20003103,TCMlaser Dörflinger,CHE489107452
AT-MF-000024050,EXIAS Medical GmbH,MF,AT,CHRN-AR-20003172,Axon Lab AG,CHE106066788
AT-MF-000024608,Greiner Bio One,MF,AT,CHRN-AR-20001176,Greiner Bio-One VACUETTE Schweiz GmbH,CHE100924844
AT-MF-000026233,POMBERGER Goisern GmbH,MF,AT,CHRN-AR-20002544,Deco Fashion Optic AG,CHE106791168
AT-MF-000026484,Natur Vital Handels GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000028352,SK-X optical solutions GmbH,MF,AT,CHRN-AR-20002414,Alpenglühn Handels GmbH,CHE102269200
AT-MF-000029636,Andy Wolf Fashion GmbH,MF,AT,CHRN-AR-20000387,Visall Suisse AG,CHE107671213
AT-MF-000030541,MacroArray Diagnostics GmbH,MF,AT,CHRN-AR-20003375,Ruwag Handels AG,CHE103871316
AT-MF-000033119,rolf.produktions GmbH,MF,AT,CHRN-AR-20002134,Conil AG,CHE108169703
AT-MF-000036146,Care diagnostica Produktions- und Vertriebsgesellschaft m.b.H.,MF,AT,CHRN-AR-20001403,Decomplix AG,CHE150315179
AT-MF-000038731,Novogenia GmbH,MF,AT,CHRN-AR-20010504,ProGenom GmbH,CHE476386952
AT-MF-000041701,Humanomed IT Solutions GmbH,MF,AT,CHRN-AR-20010422,Research Industrial Systems Engineering (RISE) Schweiz AG,CHE474337457
AT-MF-000050568,Rudolf Heintel Gesellschaft m.b.H.,MF,AT,CHRN-AR-20003070,TapMed Swiss AG,CHE315124552
AT-MF-00044495,THI Total Healthcare Innovation GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-PR-000003101,iSYS Medizintechnik GmbH,PR,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-PR-000013282,CROMA-PHARMA GmbH,PR,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AU-MF-000001928,Aus systems Pty Ltd,MF,AU,CHRN-AR-20000373,Burkart Medizintechnik AG,CHE114032917
AU-MF-000002276,William A. Cook Australia Pty. Ltd.,MF,AU,CHRN-AR-20001403,Decomplix AG,CHE150315179
AU-MF-000002766,United Pacific Industries Pty Ltd,MF,AU,CHRN-AR-20001051,Orthopartner AG,CHE108695110
AU-MF-000002775,Micropace Pty Ltd,MF,AU,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AU-MF-000005217,Fairmont Medical Products Pty Ltd,MF,AU,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AU-MF-000008414,Medmont International Pty.Ltd.,MF,AU,CHRN-AR-20001403,Decomplix AG,CHE150315179
AU-MF-000009150,Care Essentials Pty Ltd,MF,AU,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
AU-MF-000009151,Australian Orthopaedic Fixations Pty. Ltd.,MF,AU,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AU-MF-000009555,PolyNovo Biomaterials Pty Ltd,MF,AU,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AU-MF-000009702,IMAXEON PTY LTD,MF,AU,CHRN-AR-20000948,Bayer (Schweiz) AG,CHE105836526
AU-MF-000009890,Cochlear Limited,MF,AU,CHRN-AR-20001775,Cochlear AG,CHE106191494
AU-MF-000010179,The O R Company Pty Ltd,MF,AU,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
AU-MF-000010247,Harrison-AI Medical Pty Ltd,MF,AU,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
AU-MF-000010522,Saluda Medical,MF,AU,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
AU-MF-000011477,Kico Knee Innovation Company Pty Ltd,MF,AU,CHRN-AR-20010469,Mathys AG Bettlach,CHE110087003
AU-MF-000011753,ResMed Pty. Ltd.,MF,AU,CHRN-AR-20002324,ResMed Schweiz GmbH,CHE107732010
AU-MF-000013395,OncoSil Medical Ltd,MF,AU,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
AU-MF-000016740,Leica Biosystems Melbourne Pty Ltd,MF,AU,CHRN-AR-20001376,Leica Microsystems (Schweiz) AG,CHE106832287
AU-MF-000024146,Atomo Diagnostics Limited,MF,AU,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
AU-MF-000024633,SDI Ltd.,MF,AU,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
AU-MF-000025328,Bio-Molecular Systems Pty Ltd,MF,AU,CHRN-AR-20010254,Medius AG,CHE108645282
AU-MF-000030930,Universal Biosensors Pty. Ltd.,MF,AU,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
AU-MF-000033870,Qlicksmart Pty Ltd,MF,AU,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
AU-MF-000035565,Gelflex,MF,AU,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
AU-MF-000035917,Sirtex Medical Inc.,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AU-MF-000040653,Actis Medical Pty Ltd.,MF,AU,CHRN-AR-20000168,Jube Healthcare Management Jung,CHE112030095
AU-MF-000047271,TeleMedC Pty Ltd,MF,AU,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
AU-PR-000041381,Kico Knee Innovation Company Pty Ltd,PR,AU,CHRN-AR-20010469,Mathys AG Bettlach,CHE110087003
BE-MF-000000034,Materialise NV,MF,BE,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
BE-MF-000000037,F Care Systems,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000000056,HAELVOET NV,MF,BE,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
BE-MF-000000123,Dentsply Implants NV,MF,BE,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
BE-MF-000000141,Alan & Co,MF,BE,CHRN-AR-20010525,ALTRION Sagl,CHE325964507
BE-MF-000000258,Flen Health Pharma NV,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000000259,3D-Side,MF,BE,CHRN-AR-20003687,United Orthopedic Corporation (Suisse) SA,CHE167032502
BE-MF-000000302,Qompium nv,MF,BE,CHRN-AR-20000674,OMCS Medical GmbH,CHE132539953
BE-MF-000000313,FertiPro,MF,BE,CHRN-AR-20002940,Polygon-Diagnostics AG,CHE101759312
BE-MF-000000314,ArtiQ NV,MF,BE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
BE-MF-000000329,MedEnvision BV,MF,BE,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
BE-MF-000000571,Agfa NV,MF,BE,CHRN-AR-20000733,"AGFA, Mortsel/Beigien, Zweigniederlassung Zürich/Schweiz",CHE467242231
BE-MF-000000664,MVS In Motion,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000000690,Barco NV,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000000691,Ansell Healthcare Europe NV,MF,BE,CHRN-AR-20001445,Cosanum AG,CHE107967501
BE-MF-000000732,Sylphar nv,MF,BE,CHRN-AR-20001667,Verfora SA,CHE103328957
BE-MF-000000789,Medisoft SA,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000000923,CEKA Preci-Line / ALPHADENT NV ,MF,BE,CHRN-AR-20001392,Curaden AG,CHE105801551
BE-MF-000000992,H&O Equipments nv sa,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000001008,FEops NV,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000001212, LaCAR MDx Technologies,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000001242,BEDAL INTERNATIONAL,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000001283,Mondomed nv,MF,BE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
BE-MF-000001348,Nyxoah SA,MF,BE,CHRN-AR-20001439,Veranex Switzerland SA,CHE494477920
BE-MF-000001349,Hospidex NV,MF,BE,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
BE-MF-000001434,Terumo Europe N.V.,MF,BE,CHRN-AR-20001345,"Terumo Deutschland GmbH, Eschborn, Zweigniederlassung Spreitenbach",CHE113968816
BE-MF-000001608,GC Europe NV,MF,BE,CHRN-AR-20000313,GC Europe AG,CHE459359888
BE-MF-000001651,Comeo sa/nv,MF,BE,CHRN-AR-20001439,Veranex Switzerland SA,CHE494477920
BE-MF-000001786,GymnaUniphy N.V.,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000001792,Fujirebio Europe N.V.,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000002106,Hippo Dx,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000003344,Andocor N.V,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000003544,Ontex BV,MF,BE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
BE-MF-000003642,MONA LISA N.V.,MF,BE,CHRN-AR-20001361,NMS Bio-Médical S.A.,CHE108485481
BE-MF-000003661, Biocartis,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000004144,Roam Technology NV,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000004186,Endo Tools Therapeutics S.A,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000004224,Beldico SA,MF,BE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
BE-MF-000004829,Dobco Medical Systems NV,MF,BE,CHRN-AR-20001858,DH HealthCare Switzerland AG,CHE108401722
BE-MF-000006329,Icometrix N.V.,MF,BE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
BE-MF-000007210,Omega Pharma International NV [NL],MF,BE,CHRN-AR-20002059,Perrigo Schweiz AG,CHE107917271
BE-MF-000007872,Orfit Industries NV,MF,BE,CHRN-AR-20002376,Meditron S.A.,CHE101563192
BE-MF-000008018,Johnson & Johnson International,MF,BE,CHRN-AR-20001458,Synthes GmbH,CHE107288802
BE-MF-000008049, Plastiflex Group NV,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000010118,Contrel Europe nv,MF,BE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
BE-MF-000011545,Cefaly,MF,BE,CHRN-AR-20001927,NEUROLITE AG,CHE433077715
BE-MF-000011797,Oystershell NV,MF,BE,CHRN-AR-20000167,Easy Medical Device GmbH,CHE420328902
BE-MF-000012034,KiOmed Pharma SA,MF,BE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
BE-MF-000012382,MedXPress.Pro,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000013305,PhysIOL sa,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000015341,Immunodiagnostic Systems SA,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000015361,Diagenode SA,MF,BE,CHRN-AR-20000392,Hologic Medicor Suisse GmbH,CHE115327143
BE-MF-000016952,VWR International bv ,MF,BE,CHRN-AR-20002513,VWR International GmbH,CHE103883839
BE-MF-000017536,SMI AG,MF,BE,CHRN-AR-20001239,Keitsim Consulting Sàrl,CHE426118533
BE-MF-000017867,CoMoveIT NV,MF,BE,CHRN-AR-20001240,SKS-Rehab AG,CHE101914021
BE-MF-000018285,CADskills BV,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000018858,PRIME Medical Solutions,MF,BE,CHRN-AR-20010029,Certification Experts Sàrl,CHE205228037
BE-MF-000018870,Axinesis,MF,BE,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
BE-MF-000019601,OMC nv,MF,BE,CHRN-AR-20010029,Certification Experts Sàrl,CHE205228037
BE-MF-000019747,Theo eyewear,MF,BE,CHRN-AR-20002134,Conil AG,CHE108169703
BE-MF-000021567, Qaelum NV,MF,BE,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
BE-MF-000024176,Ergotrics NV,MF,BE,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
BE-MF-000024530,D-tek S.A.,MF,BE,CHRN-AR-20003375,Ruwag Handels AG,CHE103871316
BE-MF-000025722,Axiles Bionics BV,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000028219,HASA Optix,MF,BE,CHRN-AR-20001403,Decomplix AG,CHE150315179
BE-MF-000033451,Xeos Medical NV,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000034127,HOET eyewear design BV.,MF,BE,CHRN-AR-20002462,SeenVision GmbH,CHE376003400
BE-MF-000034423,Devroye Instruments SRL,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000034472,P3LAB SRL,MF,BE,CHRN-AR-20001927,NEUROLITE AG,CHE433077715
BE-MF-000035458,Runlite SA,MF,BE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BE-MF-000050665,NETOPTIC SA,MF,BE,CHRN-AR-20003046,Visio Access Swiss Sagl,CHE363785555
BE-PR-000044136,SYNDEO Medical,PR,BE,CHRN-AR-20010307,RegTrac GmbH,CHE292519647
BG-MF-000024503,ETROPAL JSC,MF,BG,CHRN-AR-20002021,OROXUS Sàrl,CHE158901843
BG-MF-000041809,STS Medical Group AD,MF,BG,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
BR-MF-000010255,ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S/A,MF,BR,CHRN-AR-20010461,MTS Devices Sàrl,CHE269589710
BR-MF-000019979,WEM Equipamentos Eletrônicos Ltda.,MF,BR,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
BR-MF-000028833,MICROMAR INDUSTRIA E COMERCIO LTDA,MF,BR,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
BR-MF-000039811,IONIC HEALTH TECHNOLOGIES S.A.,MF,BR,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
BR-PR-000013795,WEM Equipamentos Eletrônicos Ltda.,PR,BR,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
CA-MF-000000791,Zimmer CAS,MF,CA,CHRN-AR-20001391,Zimmer GmbH,CHE111746251
CA-MF-000002178,MY01 Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000002190,Braebon,MF,CA,CHRN-AR-20001927,NEUROLITE AG,CHE433077715
CA-MF-000003486,DNA Genotek Inc.,MF,CA,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
CA-MF-000004001,NATUS MEDICAL INCORPORATED DBA EXCEL-TECH LTD (XLTEK),MF,CA,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
CA-MF-000005669,Southmedic Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000007212,Innovere Medical Inc.,MF,CA,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
CA-MF-000007423,Diros Technology Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000007738,Batrik Medical Manufacturing Inc.,MF,CA,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CA-MF-000008723,7D Surgical ULC,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000009860,Trudell Medical International,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000010705,Synaptive Medical Inc.,MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000011111,MedXL Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000011667,Precision BioLogic Inc.,MF,CA,CHRN-AR-20003281,Endotell AG,CHE107389515
CA-MF-000011835,Circle Cardiovascular Imaging Inc.,MF,CA,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
CA-MF-000011975,Derma Sciences Inc.,MF,CA,CHRN-AR-20001538,ILS Services Schweiz AG,CHE113223573
CA-MF-000013010,OrthoPediatrics Canada ULC,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000016542,"H&A Mui Enterprises, o/a Mui Scientific",MF,CA,CHRN-AR-20002390,TAS SAT AG,CHE204563935
CA-MF-000016601,I-MED Pharma Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000017563,STERIS Canada ULC,MF,CA,CHRN-AR-20001449,STERIS GmbH,CHE110139338
CA-MF-000017924,Prollenium Medical Technologies Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000018335,Ondine Biomedical Inc.,MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000018361,Opsens Inc.,MF,CA,CHRN-AR-20001902,Haemonetics S.A.,CHE107970845
CA-MF-000019693,Choice One Medical Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000021925,Dominion Biologicals Limited,MF,CA,CHRN-AR-20001403,Decomplix AG,CHE150315179
CA-MF-000022852,Technologies HumanWare Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000022866,Verathon Medical (Canada) ULC,MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000023003,Innovative BioCeramix Inc.,MF,CA,CHRN-AR-20001685,FKG Dentaire Sàrl,CHE105897232
CA-MF-000023304,bioLytical Laboratories Inc.,MF,CA,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
CA-MF-000023503,"Northern Digital, Inc.",MF,CA,CHRN-AR-20001796,"AJW Technology Consulting GmbH, Düsseldorf, Zweigniederlassung Zürich",CHE171663901
CA-MF-000023610,Etymonic Design Inc. operating as Audioscan,MF,CA,CHRN-AR-20000700,Diatec AG,CHE106604154
CA-MF-000025356,"Sekisui Diagnostics P.E.I., Inc.",MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000025514,Limbus AI Inc,MF,CA,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
CA-MF-000027143,Hygie Canada Inc,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000028761,Profound Medical Inc.,MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000028837,ClaroNav Inc.,MF,CA,CHRN-AR-20001638,semperhogg gmbh,CHE380103714
CA-MF-000030095,Ventripoint Diagnostics Ltd.,MF,CA,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
CA-MF-000031794,STEMCELL Technologies Canada Inc.,MF,CA,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
CA-MF-000032108,Turbomed Orthotics inc.,MF,CA,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CA-MF-000032994,"Novadaq Technologies , ULC",MF,CA,CHRN-AR-20001267,Stryker-Osteonics AG,CHE376655198
